customer_id,name,segment,plan_tier,region,signup_month,churn_month
CUST-00001,Cobalt Systems,SMB,Team,EMEA,2023-10,2024-05
CUST-00002,Driftwood Systems,SMB,Team,NA,2023-10,2024-09
CUST-00003,Elm Systems,SMB,Starter,EMEA,2023-10,
CUST-00004,Foundry Systems,SMB,Starter,EMEA,2023-10,2026-07
CUST-00005,Gale Systems,SMB,Starter,APAC,2023-10,
CUST-00006,Harbor Systems,SMB,Starter,LATAM,2023-10,2026-01
CUST-00007,Ironwood Systems,SMB,Starter,NA,2023-10,
CUST-00008,Juniper Systems,SMB,Starter,LATAM,2023-10,
CUST-00009,Kestrel Systems,Mid-Market,Team,EMEA,2023-10,
CUST-00010,Lattice Systems,SMB,Starter,EMEA,2023-10,
CUST-00011,Meridian Systems,SMB,Starter,APAC,2023-10,2025-04
CUST-00012,Nimbus Systems,SMB,Starter,APAC,2023-10,
CUST-00013,Outrigger Systems,SMB,Team,EMEA,2023-10,
CUST-00014,Pinewell Systems,SMB,Team,APAC,2023-10,
CUST-00015,Quarry Systems,SMB,Starter,EMEA,2023-10,2025-01
CUST-00016,Ridgeline Systems,SMB,Starter,NA,2023-10,2025-10
CUST-00017,Solstice Systems,SMB,Starter,EMEA,2023-10,2025-09
CUST-00018,Timberline Systems,SMB,Starter,LATAM,2023-10,
CUST-00019,Upland Systems,Enterprise,Business,NA,2023-10,2024-05
CUST-00020,Verve Systems,SMB,Starter,EMEA,2023-10,2025-06
CUST-00021,Westgate Systems,SMB,Team,NA,2023-10,2024-12
CUST-00022,Yarrow Systems,SMB,Starter,LATAM,2023-10,2025-05
CUST-00023,Zephyr Systems,SMB,Starter,EMEA,2023-10,
CUST-00024,Anchor Works,SMB,Starter,NA,2023-10,2024-04
CUST-00025,Brightline Works,SMB,Starter,NA,2023-11,2024-06
CUST-00026,Cobalt Works,SMB,Team,EMEA,2023-11,
CUST-00027,Driftwood Works,SMB,Starter,NA,2023-11,
CUST-00028,Elm Works,SMB,Starter,EMEA,2023-12,2024-11
CUST-00029,Foundry Works,SMB,Starter,NA,2023-12,2026-09
