employee_id,department,region,hire_month,term_month
EMP-0001,Engineering,EMEA,2023-10,
EMP-0002,Product,EMEA,2023-10,
EMP-0003,Customer Success,EMEA,2023-10,2026-09
EMP-0004,Sales,EMEA,2023-10,
EMP-0005,Customer Success,NA,2023-10,
EMP-0006,Sales,NA,2023-10,2025-02
EMP-0007,People,NA,2023-10,2023-12
EMP-0008,Sales,NA,2023-10,2024-04
EMP-0009,Customer Success,NA,2023-10,2024-06
EMP-0010,Customer Success,EMEA,2023-10,
EMP-0011,Engineering,NA,2023-10,2024-09
EMP-0012,Engineering,NA,2023-10,2024-02
EMP-0013,Product,NA,2023-10,2026-08
EMP-0014,People,NA,2023-10,
EMP-0015,Finance,EMEA,2023-10,2023-12
EMP-0016,Finance,EMEA,2023-10,
EMP-0017,Sales,NA,2023-10,
EMP-0018,Marketing,NA,2023-10,
EMP-0019,Engineering,LATAM,2023-10,2025-08
EMP-0020,Product,LATAM,2023-10,
EMP-0021,Engineering,NA,2023-10,
EMP-0022,Finance,NA,2023-10,2025-02
EMP-0023,Marketing,APAC,2023-10,
EMP-0024,Engineering,NA,2023-10,
EMP-0025,Sales,NA,2023-10,
EMP-0026,Engineering,LATAM,2023-10,
EMP-0027,Engineering,EMEA,2023-10,2024-06
EMP-0028,Product,APAC,2023-10,
EMP-0029,Finance,NA,2023-11,
EMP-0030,Customer Success,NA,2023-11,
EMP-0031,Product,NA,2023-12,
EMP-0032,People,NA,2023-12,
EMP-0033,People,LATAM,2024-01,
EMP-0034,Sales,NA,2024-01,
EMP-0035,Engineering,NA,2024-02,2025-12
EMP-0036,Finance,NA,2024-02,
EMP-0037,Engineering,APAC,2024-03,
EMP-0038,Finance,LATAM,2024-03,2024-10
EMP-0039,Finance,NA,2024-04,
EMP-0040,Customer Success,NA,2024-04,2025-09
EMP-0041,Marketing,NA,2024-04,2025-06
EMP-0042,Sales,APAC,2024-05,2024-09
EMP-0043,Sales,EMEA,2024-05,
EMP-0044,Marketing,EMEA,2024-06,
EMP-0045,Sales,NA,2024-07,
EMP-0046,Engineering,EMEA,2024-07,
EMP-0047,Customer Success,EMEA,2024-07,
EMP-0048,Sales,APAC,2024-08,2026-04
EMP-0049,Customer Success,APAC,2024-09,2025-02
EMP-0050,Sales,NA,2024-09,2025-09
EMP-0051,Sales,EMEA,2024-10,2025-10
EMP-0052,Engineering,EMEA,2024-10,
EMP-0053,Sales,NA,2024-11,
EMP-0054,Customer Success,EMEA,2024-11,
EMP-0055,Sales,NA,2024-11,2025-03
EMP-0056,Product,APAC,2024-12,
EMP-0057,Engineering,APAC,2025-01,
EMP-0058,Sales,NA,2025-01,
EMP-0059,Product,EMEA,2025-01,
EMP-0060,Engineering,EMEA,2025-02,
EMP-0061,Finance,EMEA,2025-02,
EMP-0062,Finance,APAC,2025-02,
EMP-0063,Engineering,EMEA,2025-02,
EMP-0064,Sales,EMEA,2025-03,
EMP-0065,Customer Success,NA,2025-03,
EMP-0066,Customer Success,EMEA,2025-04,
EMP-0067,Engineering,NA,2025-04,2026-01
EMP-0068,Sales,NA,2025-04,2026-02
EMP-0069,Engineering,NA,2025-05,
EMP-0070,Sales,APAC,2025-05,
EMP-0071,Sales,NA,2025-06,
EMP-0072,Finance,APAC,2025-07,
EMP-0073,Product,APAC,2025-07,
EMP-0074,Marketing,EMEA,2025-08,2026-09
EMP-0075,Engineering,EMEA,2025-08,
EMP-0076,Customer Success,NA,2025-08,
EMP-0077,Marketing,APAC,2025-08,
EMP-0078,Marketing,APAC,2025-09,
EMP-0079,Finance,NA,2025-09,
EMP-0080,Customer Success,NA,2025-09,
EMP-0081,Product,APAC,2025-09,
EMP-0082,Finance,LATAM,2025-10,
EMP-0083,Marketing,NA,2025-10,
EMP-0084,Finance,NA,2025-11,
EMP-0085,Engineering,NA,2025-11,2026-06
EMP-0086,Customer Success,EMEA,2025-12,
EMP-0087,Product,EMEA,2025-12,
EMP-0088,Sales,LATAM,2025-12,
EMP-0089,Customer Success,APAC,2025-12,
EMP-0090,Engineering,NA,2026-01,
EMP-0091,Sales,APAC,2026-01,
EMP-0092,Engineering,NA,2026-02,
EMP-0093,Product,EMEA,2026-02,
EMP-0094,Engineering,EMEA,2026-02,
EMP-0095,Customer Success,EMEA,2026-02,
EMP-0096,Sales,NA,2026-03,
EMP-0097,Engineering,EMEA,2026-03,
EMP-0098,Sales,EMEA,2026-04,
EMP-0099,Product,EMEA,2026-04,
EMP-0100,Engineering,APAC,2026-04,
EMP-0101,Sales,NA,2026-05,
EMP-0102,Customer Success,EMEA,2026-05,
EMP-0103,Engineering,NA,2026-05,
EMP-0104,Sales,NA,2026-06,2026-09
EMP-0105,Customer Success,NA,2026-06,
EMP-0106,Sales,APAC,2026-06,
EMP-0107,Engineering,EMEA,2026-06,
EMP-0108,Customer Success,NA,2026-07,
EMP-0109,Product,NA,2026-07,
EMP-0110,Customer Success,APAC,2026-07,
EMP-0111,Sales,NA,2026-08,
EMP-0112,Sales,NA,2026-08,
EMP-0113,Engineering,LATAM,2026-09,
EMP-0114,Engineering,EMEA,2026-09,
