customer_id,month,mrr,is_new,is_expansion,is_contraction,is_churned
CUST-00001,2023-10,202.39,1,0,0,0
CUST-00002,2023-10,224.82,1,0,0,0
CUST-00003,2023-10,113.66,1,0,0,0
CUST-00004,2023-10,222.07,1,0,0,0
CUST-00005,2023-10,90.96,1,0,0,0
CUST-00006,2023-10,57.23,1,0,0,0
CUST-00007,2023-10,89.33,1,0,0,0
CUST-00008,2023-10,119.52,1,0,0,1
CUST-00009,2023-10,224.08,1,0,0,0
CUST-00010,2023-10,217.88,1,0,0,0
CUST-00011,2023-10,124.63,1,0,0,0
CUST-00012,2023-10,129.29,1,0,0,0
CUST-00013,2023-10,2188.77,1,0,0,0
CUST-00014,2023-10,164.19,1,0,0,0
CUST-00015,2023-10,59.19,1,0,0,0
CUST-00016,2023-10,64.17,1,0,0,0
CUST-00017,2023-10,136.07,1,0,0,0
CUST-00018,2023-10,207.89,1,0,0,0
CUST-00019,2023-10,252.4,1,0,0,0
CUST-00020,2023-10,202.65,1,0,0,0
CUST-00021,2023-10,173.69,1,0,0,0
CUST-00022,2023-10,90.97,1,0,0,0
CUST-00023,2023-10,222.12,1,0,0,0
CUST-00024,2023-10,215.1,1,0,0,0
CUST-00001,2023-11,212.29,0,1,0,0
CUST-00002,2023-11,221.97,0,0,0,0
CUST-00003,2023-11,111.44,0,0,0,0
CUST-00004,2023-11,221.42,0,0,0,0
CUST-00005,2023-11,92.6,0,0,0,0
CUST-00006,2023-11,55.51,0,0,1,0
CUST-00007,2023-11,93.6,0,1,0,0
CUST-00009,2023-11,229.15,0,1,0,0
CUST-00010,2023-11,217.84,0,0,0,0
CUST-00011,2023-11,132.06,0,1,0,0
CUST-00012,2023-11,132.17,0,1,0,0
CUST-00013,2023-11,2231.25,0,0,0,0
CUST-00014,2023-11,106.99,0,0,1,0
CUST-00015,2023-11,57.47,0,0,1,0
CUST-00016,2023-11,66.27,0,1,0,0
CUST-00017,2023-11,134.26,0,0,0,0
CUST-00018,2023-11,176.59,0,0,1,0
CUST-00019,2023-11,245.47,0,0,1,0
CUST-00020,2023-11,205.06,0,0,0,0
CUST-00021,2023-11,175.24,0,0,0,0
CUST-00022,2023-11,87.44,0,0,1,0
CUST-00023,2023-11,222.43,0,0,0,0
CUST-00024,2023-11,213.01,0,0,0,0
CUST-00025,2023-11,238.23,1,0,0,0
CUST-00026,2023-11,247.81,1,0,0,0
CUST-00027,2023-11,50.41,1,0,0,0
CUST-00028,2023-11,86.74,1,0,0,0
CUST-00001,2023-12,214.1,0,0,0,0
CUST-00002,2023-12,219.9,0,0,0,1
CUST-00003,2023-12,109.62,0,0,0,0
CUST-00004,2023-12,227.15,0,1,0,0
CUST-00005,2023-12,97.11,0,1,0,0
CUST-00006,2023-12,57.94,0,1,0,0
CUST-00007,2023-12,78.08,0,0,1,0
CUST-00009,2023-12,224.96,0,0,0,0
CUST-00010,2023-12,212.02,0,0,1,0
CUST-00011,2023-12,129.17,0,0,1,0
CUST-00012,2023-12,133.79,0,0,0,0
CUST-00013,2023-12,2315.67,0,1,0,0
CUST-00014,2023-12,104.21,0,0,1,0
CUST-00015,2023-12,59.3,0,1,0,0
CUST-00016,2023-12,69.34,0,1,0,0
CUST-00017,2023-12,132.21,0,0,0,0
CUST-00018,2023-12,179.76,0,0,0,0
CUST-00019,2023-12,252.5,0,1,0,0
CUST-00020,2023-12,252.56,0,1,0,0
CUST-00021,2023-12,171.35,0,0,1,0
CUST-00022,2023-12,91.53,0,1,0,0
CUST-00023,2023-12,223.57,0,0,0,0
CUST-00024,2023-12,211.36,0,0,0,0
CUST-00025,2023-12,229.2,0,0,1,0
CUST-00026,2023-12,250.42,0,0,0,0
CUST-00027,2023-12,51.9,0,1,0,0
CUST-00028,2023-12,90.4,0,1,0,0
CUST-00029,2023-12,114.41,1,0,0,0
CUST-00030,2023-12,225.23,1,0,0,0
CUST-00031,2023-12,204.48,1,0,0,1
CUST-00032,2023-12,48.6,1,0,0,0
CUST-00033,2023-12,61.78,1,0,0,0
CUST-00001,2024-01,220.67,0,1,0,0
CUST-00003,2024-01,114.4,0,1,0,0
CUST-00004,2024-01,225.18,0,0,0,0
CUST-00005,2024-01,101.68,0,1,0,0
CUST-00006,2024-01,57.43,0,0,0,0
CUST-00007,2024-01,78.42,0,0,0,0
CUST-00009,2024-01,179.34,0,0,1,0
CUST-00010,2024-01,210.14,0,0,0,0
CUST-00011,2024-01,135.27,0,1,0,0
CUST-00012,2024-01,133,0,0,0,0
CUST-00013,2024-01,2331.16,0,0,0,0
CUST-00014,2024-01,102.33,0,0,0,0
CUST-00015,2024-01,61.2,0,1,0,0
CUST-00016,2024-01,67.95,0,0,1,0
CUST-00017,2024-01,138.73,0,1,0,0
CUST-00018,2024-01,174.64,0,0,1,0
CUST-00019,2024-01,249.82,0,0,0,0
CUST-00020,2024-01,258.96,0,1,0,0
CUST-00021,2024-01,178.57,0,1,0,0
CUST-00022,2024-01,96.56,0,1,0,0
CUST-00023,2024-01,233.93,0,1,0,0
CUST-00024,2024-01,203.97,0,0,1,0
CUST-00025,2024-01,240.58,0,1,0,0
CUST-00026,2024-01,255.67,0,1,0,0
CUST-00027,2024-01,54.73,0,1,0,0
CUST-00028,2024-01,88.19,0,0,1,0
CUST-00029,2024-01,115.66,0,0,0,0
CUST-00030,2024-01,222.79,0,0,0,0
CUST-00032,2024-01,47.95,0,0,0,0
CUST-00033,2024-01,60.14,0,0,1,0
CUST-00034,2024-01,152.3,1,0,0,0
CUST-00035,2024-01,219.85,1,0,0,0
CUST-00036,2024-01,121.09,1,0,0,1
