report_id,month,views,unique_viewers,engagement_score
REP-001,2023-10,52,24,70
REP-001,2023-11,59,30,61
REP-001,2023-12,54,27,72
REP-001,2024-01,56,18,53
REP-001,2024-02,61,33,94
REP-001,2024-03,55,27,68
REP-001,2024-04,57,29,72
REP-001,2024-05,58,15,31
REP-001,2024-06,54,17,56
REP-001,2024-07,59,23,55
REP-001,2024-08,55,29,57
REP-001,2024-09,56,30,80
REP-001,2024-10,60,16,40
REP-001,2024-11,69,30,53
REP-001,2024-12,74,40,77
REP-001,2025-01,76,29,51
REP-001,2025-02,70,31,64
REP-001,2025-03,78,42,92
REP-001,2025-04,85,36,58
REP-001,2025-05,85,40,59
REP-001,2025-06,95,43,60
REP-001,2025-07,95,51,67
REP-001,2025-08,102,41,65
REP-001,2025-09,100,39,61
REP-001,2025-10,102,46,79
REP-001,2025-11,112,38,47
REP-001,2025-12,102,31,54
REP-001,2026-01,112,41,43
REP-001,2026-02,124,42,56
REP-001,2026-03,114,54,46
REP-001,2026-04,117,57,50
REP-001,2026-05,105,46,75
REP-001,2026-06,93,31,57
REP-001,2026-07,84,32,52
REP-001,2026-08,76,30,43
REP-001,2026-09,78,24,42
REP-002,2023-10,121,36,47
REP-002,2023-11,140,45,47
REP-002,2023-12,156,65,71
REP-002,2024-01,178,60,37
REP-002,2024-02,160,62,59
REP-002,2024-03,144,50,54
REP-002,2024-04,156,80,77
REP-002,2024-05,138,45,37
REP-002,2024-06,128,50,44
REP-002,2024-07,145,61,42
REP-002,2024-08,156,82,66
REP-002,2024-09,162,70,49
REP-002,2024-10,186,87,61
REP-002,2024-11,213,97,62
REP-002,2024-12,195,68,46
REP-002,2025-01,182,76,70
REP-002,2025-02,160,64,69
REP-002,2025-03,158,82,59
REP-002,2025-04,145,52,44
REP-002,2025-05,129,61,79
REP-002,2025-06,142,53,51
REP-002,2025-07,142,42,30
REP-002,2025-08,132,46,40
REP-002,2025-09,120,49,69
REP-002,2025-10,130,44,53
REP-002,2025-11,147,70,80
REP-002,2025-12,161,47,35
REP-002,2026-01,175,45,32
REP-002,2026-02,170,53,39
REP-002,2026-03,152,45,44
REP-002,2026-04,151,56,64
REP-002,2026-05,164,67,40
REP-002,2026-06,162,59,65
REP-002,2026-07,154,64,55
REP-002,2026-08,141,37,47
REP-002,2026-09,135,52,70
REP-003,2023-10,28,10,50
REP-003,2023-11,25,11,55
REP-003,2023-12,27,10,39
REP-003,2024-01,27,7,39
REP-003,2024-02,26,9,35
REP-003,2024-03,30,8,37
REP-003,2024-04,27,9,43
REP-003,2024-05,31,16,63
REP-003,2024-06,34,12,60
REP-003,2024-07,35,12,42
REP-003,2024-08,31,14,66
REP-003,2024-09,29,10,35
REP-003,2024-10,33,18,65
REP-003,2024-11,33,13,57
REP-003,2024-12,35,14,59
REP-003,2025-01,36,11,49
